class_id,class_name,GT,Pred,TP,FP,FN,Precision,Recall,F1
1,Atelectasis,13,16,0,16,13,0.0,0.0,0.0
4,Consolidation,26,30,3,27,23,0.1,0.1154,0.1071
9,Other lesion,252,836,64,772,188,0.0766,0.254,0.1176
2,Calcification,78,265,20,245,58,0.0755,0.2564,0.1166
12,Pneumothorax,25,56,7,49,18,0.125,0.28,0.1728
6,Infiltration,74,146,23,123,51,0.1575,0.3108,0.2091
8,Nodule/Mass,350,848,139,709,211,0.1639,0.3971,0.2321
7,Lung Opacity,248,850,113,737,135,0.1329,0.4556,0.2058
13,Pulmonary fibrosis,581,1639,270,1369,311,0.1647,0.4647,0.2432
11,Pleural thickening,793,2472,377,2095,416,0.1525,0.4754,0.2309
5,ILD,122,482,71,411,51,0.1473,0.582,0.2351
10,Pleural effusion,119,343,86,257,33,0.2507,0.7227,0.3723
0,Aortic enlargement,802,1338,771,567,31,0.5762,0.9613,0.7206
3,Cardiomegaly,579,943,562,381,17,0.596,0.9706,0.7385
