class_id,class_name,GT,Pred,TP,FP,FN,Precision,Recall,F1
9,Other lesion,252,134,29,105,223,0.2164,0.1151,0.1503
4,Consolidation,26,69,3,66,23,0.0435,0.1154,0.0632
12,Pneumothorax,25,15,5,10,20,0.3333,0.2,0.25
1,Atelectasis,13,67,3,64,10,0.0448,0.2308,0.075
2,Calcification,78,385,18,367,60,0.0468,0.2308,0.0778
7,Lung Opacity,248,355,73,282,175,0.2056,0.2944,0.2421
8,Nodule/Mass,350,366,108,258,242,0.2951,0.3086,0.3017
11,Pleural thickening,793,1215,249,966,544,0.2049,0.314,0.248
13,Pulmonary fibrosis,581,717,186,531,395,0.2594,0.3201,0.2866
6,Infiltration,74,134,26,108,48,0.194,0.3514,0.25
5,ILD,122,185,45,140,77,0.2432,0.3689,0.2932
10,Pleural effusion,119,254,72,182,47,0.2835,0.605,0.3861
0,Aortic enlargement,802,866,710,156,92,0.8199,0.8853,0.8513
3,Cardiomegaly,579,755,552,203,27,0.7311,0.9534,0.8276
