class_id,class_name,GT,Pred,TP,FP,FN,Precision,Recall,F1
4,Consolidation,26,63,3,60,23,0.0476,0.1154,0.0674
1,Atelectasis,13,26,2,24,11,0.0769,0.1538,0.1026
9,Other lesion,252,392,40,352,212,0.102,0.1587,0.1242
2,Calcification,78,190,15,175,63,0.0789,0.1923,0.1119
12,Pneumothorax,25,59,9,50,16,0.1525,0.36,0.2143
6,Infiltration,74,167,27,140,47,0.1617,0.3649,0.2241
7,Lung Opacity,248,704,91,613,157,0.1293,0.3669,0.1912
13,Pulmonary fibrosis,581,1228,216,1012,365,0.1759,0.3718,0.2388
8,Nodule/Mass,350,704,134,570,216,0.1903,0.3829,0.2543
11,Pleural thickening,793,1826,304,1522,489,0.1665,0.3834,0.2321
5,ILD,122,410,60,350,62,0.1463,0.4918,0.2256
10,Pleural effusion,119,314,81,233,38,0.258,0.6807,0.3741
0,Aortic enlargement,802,1227,763,464,39,0.6218,0.9514,0.7521
3,Cardiomegaly,579,1034,568,466,11,0.5493,0.981,0.7043
