class_id,class_name,GT,Pred,TP,FP,FN,Precision,Recall,F1
1,Atelectasis,13,7,0,7,13,0.0,0.0,0.0
4,Consolidation,26,14,1,13,25,0.0714,0.0385,0.05
9,Other lesion,252,505,43,462,209,0.0851,0.1706,0.1136
12,Pneumothorax,25,16,5,11,20,0.3125,0.2,0.2439
2,Calcification,78,284,16,268,62,0.0563,0.2051,0.0884
8,Nodule/Mass,350,389,113,276,237,0.2905,0.3229,0.3058
7,Lung Opacity,248,552,84,468,164,0.1522,0.3387,0.21
13,Pulmonary fibrosis,581,952,202,750,379,0.2122,0.3477,0.2635
5,ILD,122,185,45,140,77,0.2432,0.3689,0.2932
6,Infiltration,74,197,30,167,44,0.1523,0.4054,0.2214
11,Pleural thickening,793,3139,386,2753,407,0.123,0.4868,0.1963
10,Pleural effusion,119,188,67,121,52,0.3564,0.563,0.4365
0,Aortic enlargement,802,1045,749,296,53,0.7167,0.9339,0.811
3,Cardiomegaly,579,737,548,189,31,0.7436,0.9465,0.8328
