class_id,class_name,GT,Pred,TP,FP,FN,Precision,Recall,F1
4,Consolidation,26,64,2,62,24,0.0312,0.0769,0.0444
1,Atelectasis,13,13,2,11,11,0.1538,0.1538,0.1538
9,Other lesion,252,452,48,404,204,0.1062,0.1905,0.1364
2,Calcification,78,153,19,134,59,0.1242,0.2436,0.1645
6,Infiltration,74,137,25,112,49,0.1825,0.3378,0.237
12,Pneumothorax,25,52,9,43,16,0.1731,0.36,0.2338
5,ILD,122,287,49,238,73,0.1707,0.4016,0.2396
8,Nodule/Mass,350,911,142,769,208,0.1559,0.4057,0.2252
7,Lung Opacity,248,669,101,568,147,0.151,0.4073,0.2203
13,Pulmonary fibrosis,581,1243,241,1002,340,0.1939,0.4148,0.2643
11,Pleural thickening,793,1878,341,1537,452,0.1816,0.43,0.2553
10,Pleural effusion,119,312,86,226,33,0.2756,0.7227,0.3991
0,Aortic enlargement,802,1365,774,591,28,0.567,0.9651,0.7144
3,Cardiomegaly,579,959,563,396,16,0.5871,0.9724,0.7321
