class_id,class_name,GT,Pred,TP,FP,FN,Precision,Recall,F1
1,Atelectasis,13,9,0,9,13,0.0,0.0,0.0
9,Other lesion,252,376,45,331,207,0.1197,0.1786,0.1433
6,Infiltration,74,52,16,36,58,0.3077,0.2162,0.254
12,Pneumothorax,25,13,6,7,19,0.4615,0.24,0.3158
4,Consolidation,26,169,7,162,19,0.0414,0.2692,0.0718
5,ILD,122,102,34,68,88,0.3333,0.2787,0.3036
2,Calcification,78,255,25,230,53,0.098,0.3205,0.1502
8,Nodule/Mass,350,574,126,448,224,0.2195,0.36,0.2727
7,Lung Opacity,248,584,97,487,151,0.1661,0.3911,0.2332
13,Pulmonary fibrosis,581,1243,241,1002,340,0.1939,0.4148,0.2643
11,Pleural thickening,793,1878,341,1537,452,0.1816,0.43,0.2553
10,Pleural effusion,119,151,68,83,51,0.4503,0.5714,0.5037
3,Cardiomegaly,579,576,497,79,82,0.8628,0.8584,0.8606
0,Aortic enlargement,802,1019,745,274,57,0.7311,0.9289,0.8182
