class_id,class_name,threshold,TP,FP,FN,Precision,Recall,F1,F2
0,Aortic enlargement,0.37,417,112,42,0.7882797731568998,0.9084967320261438,0.8441295546553728,0.8816067653274784
1,Atelectasis,0.01,0,18,7,0.0,0.0,0.0,0.0
2,Calcification,0.02,18,223,36,0.07468879668049792,0.3333333333333333,0.12203389830478566,0.19693654266927269
3,Cardiomegaly,0.25,322,87,23,0.7872860635696821,0.9333333333333333,0.8541114058350473,0.8999441028505341
4,Consolidation,0.04,3,15,8,0.16666666666666666,0.2727272727272727,0.20689655172366708,0.24193548387071018
5,ILD,0.12,26,111,40,0.1897810218978102,0.3939393939393939,0.25615763546754144,0.32418952618425745
6,Infiltration,0.07,13,75,19,0.14772727272727273,0.40625,0.2166666666662756,0.3009259259256241
7,Lung Opacity,0.12,40,167,88,0.1932367149758454,0.3125,0.23880597014878155,0.2781641168286728
8,Nodule/Mass,0.12,76,262,125,0.22485207100591717,0.3781094527363184,0.28200371057467144,0.33274956217136825
9,Other lesion,0.14,22,112,116,0.16417910447761194,0.15942028985507245,0.16176470588185307,0.1603498542272088
10,Pleural effusion,0.08,49,98,25,0.3333333333333333,0.6621621621621622,0.4434389140267039,0.5530474040629282
11,Pleural thickening,0.07,241,1019,288,0.19126984126984126,0.4555765595463138,0.269424259362356,0.3569312796205606
12,Pneumothorax,0.38,4,4,9,0.5,0.3076923076923077,0.3809523809519093,0.33333333333318893
13,Pulmonary fibrosis,0.1,155,435,262,0.2627118644067797,0.37170263788968827,0.3078450844086508,0.3432240921166763
