class_id,class_name,threshold,TP,FP,FN,Precision,Recall,F1,F2
0,Aortic enlargement,0.2,426,164,33,0.7220338983050848,0.9281045751633987,0.8122020972349702,0.8779884583674534
1,Atelectasis,0.1,2,2,5,0.5,0.2857142857142857,0.36363636363590085,0.3124999999998632
2,Calcification,0.03,12,105,42,0.10256410256410256,0.2222222222222222,0.14035087719255035,0.1801801801798953
3,Cardiomegaly,0.46,319,65,26,0.8307291666666666,0.9246376811594202,0.8751714677635617,0.9041950113376555
4,Consolidation,0.01,5,65,6,0.07142857142857142,0.45454545454545453,0.12345679012322207,0.21929824561373884
5,ILD,0.16,26,83,40,0.23853211009174313,0.3939393939393939,0.29714285714238736,0.3485254691686422
6,Infiltration,0.12,9,53,23,0.14516129032258066,0.28125,0.19148936170167863,0.2368421052628831
7,Lung Opacity,0.06,53,357,75,0.12926829268292683,0.4140625,0.1970260223044701,0.28741865509730524
8,Nodule/Mass,0.09,69,225,132,0.23469387755102042,0.34328358208955223,0.27878787878739647,0.314207650272979
9,Other lesion,0.06,25,200,113,0.1111111111111111,0.18115942028985507,0.13774104683148466,0.16087516087490372
10,Pleural effusion,0.14,48,56,26,0.46153846153846156,0.6486486486486487,0.5393258426961434,0.5999999999997596
11,Pleural thickening,0.05,214,841,315,0.2028436018957346,0.4045368620037807,0.27020202020157535,0.3374329864393314
12,Pneumothorax,0.28,4,2,9,0.6666666666666666,0.3076923076923077,0.42105263157851525,0.34482758620678056
13,Pulmonary fibrosis,0.05,178,741,239,0.19368879216539717,0.42685851318944845,0.2664670658678341,0.3440278314647311
